Date,Open,High,Low,Close,Adj Close,Volume,dividend_amount,split_coefficient
2012-11-12,138.59,138.81,137.96,138.27,116.962059693,97301953,0.0,1.0
2012-11-13,137.54,139.25,137.36,137.79,116.556029544,122818991,0.0,1.0
2012-11-14,138.21,138.43,135.62,135.93,114.982662718,191349976,0.0,1.0
2012-11-15,135.98,136.49,135.18,135.7,114.788106605,177963481,0.0,1.0
2012-11-16,135.9,136.64,134.7,136.37,115.354857021,239316080,0.0,1.0
2012-11-19,137.9,139.15,136.41,139.13,117.689530376,151289828,0.0,1.0
2012-11-20,138.91,139.42,138.08,139.19,117.740284144,119410788,0.0,1.0
2012-11-21,139.31,139.57,139.03,139.45,117.960217141,81542659,0.0,1.0
2012-11-23,140.13,141.4,140.04,141.35,119.567419813,65409145,0.0,1.0
2012-11-26,140.65,141.36,140.19,141.05,119.31365097,99649879,0.0,1.0
2012-11-27,140.91,141.39,140.24,140.33,118.704605747,127850321,0.0,1.0
2012-11-28,139.76,141.54,139.0,141.46,119.660468389,176637479,0.0,1.0
2012-11-29,141.99,142.51,141.37,142.12,120.218759843,150798733,0.0,1.0
2012-11-30,142.14,142.42,141.66,142.15,120.244136727,136298627,0.0,1.0
2012-12-03,142.8,142.92,141.34,141.45,119.652009427,124385047,0.0,1.0
2012-12-04,141.44,141.87,140.87,141.25,119.482830199,126623508,0.0,1.0
2012-12-05,141.37,142.16,140.37,141.5,119.694304234,147129404,0.0,1.0
2012-12-06,141.37,142.04,141.16,141.98,120.100334383,103086256,0.0,1.0
2012-12-07,142.53,142.69,141.67,142.41,120.464069725,108661551,0.0,1.0
2012-12-10,142.21,142.81,142.15,142.47,120.514823493,98424357,0.0,1.0
2012-12-11,143.06,144.11,142.99,143.44,121.335342752,152344305,0.0,1.0
2012-12-12,144.0,144.55,143.31,143.51,121.394555482,146740002,0.0,1.0
2012-12-13,143.42,143.83,142.27,142.63,120.650166876,135280737,0.0,1.0
2012-12-14,142.32,142.58,141.88,142.1,120.20184192,137650387,0.0,1.0
2012-12-17,142.47,143.85,142.43,143.77,121.614488479,143176435,0.0,1.0
